model,supercategory,ap_baseline_top3,ndcg_baseline_top3,mrr_baseline_top3,n_baseline_top3,ap_top8_topk,ndcg_top8_topk,mrr_top8_topk,n_top8_topk,delta_ap_topk_vs_base,delta_ndcg_topk_vs_base,delta_mrr_topk_vs_base
biocap,Appearance,43.18930588123568,66.63577958610527,0.5900061769514904,52,40.363123162456034,64.20259920866926,0.5429811213150936,52,-2.8261827187796484,-2.433180377436017,-0.047025055636396806
biocap,Behavior,37.34897574867722,65.32144976330498,0.606024814043787,58,36.72254867509108,65.3819997322044,0.6445076714973547,59,-0.6264270735861359,0.06054996889942288,0.03848285745356761
biocap,Context,41.07968285901292,67.11749763231424,0.5934753364785442,43,36.62781717246267,63.14233027178538,0.4691407670431708,43,-4.451865686550249,-3.9751673605288573,-0.12433456943537341
biocap,Species,54.09625215519204,78.38821737245257,0.85,6,51.30331574129334,76.00782246232309,0.75,6,-2.792936413898701,-2.380394910129482,-0.09999999999999998
bioclip,Appearance,42.677578120570075,66.46111563758416,0.5880000288665213,52,38.62391431159367,63.973962488526546,0.5576865038142211,52,-4.0536638089764025,-2.4871531490576118,-0.030313525052300117
bioclip,Behavior,33.57422527582297,62.36134228088786,0.5304212521735464,58,31.627697139949944,60.809716702702836,0.49100880287320964,59,-1.9465281358730238,-1.5516255781850248,-0.03941244930033677
bioclip,Context,38.463092570079574,65.92791271843107,0.5937887519755761,43,38.131350466240015,65.80664750232296,0.5594410797495488,43,-0.3317421038395594,-0.1212652161081138,-0.034347672226027304
bioclip,Species,62.7312535439878,85.25797844924496,0.9166666666666666,6,58.10967197736156,81.67684631745702,0.9166666666666666,6,-4.62158156662624,-3.581132131787939,0.0
dinov3-b16,Appearance,35.54609055711965,62.32887591045895,0.5613493805579826,52,30.63120919670856,58.0328380148513,0.43790717357441744,52,-4.914881360411087,-4.296037895607647,-0.12344220698356512
dinov3-b16,Behavior,34.979764145544905,64.19773562733215,0.6341346197226072,58,32.49787600701693,61.54894796275271,0.5361713535774598,59,-2.481888138527978,-2.6487876645794373,-0.09796326614514739
dinov3-b16,Context,33.44636011300433,61.45906617116315,0.44808073063887016,43,33.42443368358422,61.64515605630629,0.45999578076007974,43,-0.02192642942011247,0.18608988514314007,0.01191505012120958
dinov3-b16,Species,43.63583953288427,68.51567584792129,0.5075757575757576,6,47.884693030612674,72.19123678295729,0.5847222222222223,6,4.248853497728405,3.6755609350360032,0.07714646464646469
siglip-so400m-14-384,Appearance,38.607462403509004,63.51424088746637,0.5279477389764273,52,36.14408359699004,61.830929135538945,0.47157735138936846,52,-2.4633788065189606,-1.6833117519274268,-0.05637038758705887
siglip-so400m-14-384,Behavior,44.368919791261575,71.13361923698463,0.7224831876407382,58,39.09276800916845,66.85750986886227,0.6355673383015042,59,-5.276151782093123,-4.276109368122363,-0.08691584933923391
siglip-so400m-14-384,Context,42.7765112738336,68.65869041564328,0.604372419593663,43,39.462675647247714,65.4024617812074,0.51402693482215,43,-3.3138356265858846,-3.256228634435871,-0.09034548477151294
siglip-so400m-14-384,Species,45.55802261321065,72.76896363358675,0.8055555555555555,6,46.181370475072924,71.64493209704061,0.6333333333333333,6,0.6233478618622712,-1.1240315365461413,-0.17222222222222217
vit-b-32,Appearance,33.6240364493835,60.27220942457898,0.4811307196148968,52,31.662206993225723,58.513552639805056,0.43481123376530495,52,-1.9618294561577798,-1.758656784773926,-0.046319485849591835
vit-b-32,Behavior,33.11071092926836,62.28643904276524,0.5326480562546639,58,32.147853999757324,62.22055084029096,0.5681133302749558,59,-0.9628569295110339,-0.06588820247427662,0.03546527402029187
vit-b-32,Context,33.629567047864704,63.59259144329863,0.617610516258727,43,33.53206765861364,62.83311135780719,0.5260737240181405,43,-0.0974993892510625,-0.7594800854914396,-0.09153679224058653
vit-b-32,Species,40.6338635583545,67.35551560769652,0.5317460317460317,6,43.531514680291345,70.9750030597532,0.6746031746031745,6,2.897651121936846,3.6194874520566884,0.1428571428571428
