model,supercategory,ap_baseline,ndcg_baseline,mrr_baseline,n_baseline,ap_filtered,ndcg_filtered,mrr_filtered,n_filtered,delta_ap_filtered_vs_baseline,delta_ndcg_filtered_vs_baseline,delta_mrr_filtered_vs_baseline
biocap,Appearance,41.237695988910566,65.27585234617914,0.5415991071226872,52,41.0309876131472,64.9768323336673,0.5392223831291646,52,-0.20670837576336965,-0.2990200125118321,-0.0023767239935226225
biocap,Behavior,37.64022730150603,64.91094091925686,0.5777077434264087,59,36.3456513237956,64.24043387468961,0.5628966591602835,57,-1.29457597771043,-0.6705070445672447,-0.014811084266125207
biocap,Context,40.73652536162967,67.04233879042776,0.5570411758783852,43,39.61514084848676,65.72312147673568,0.5234708697235277,43,-1.1213845131429068,-1.3192173136920786,-0.033570306154857454
biocap,Species,59.0959178355803,81.62212274847066,0.9166666666666666,6,56.31455816822679,81.39463533003253,1.0,6,-2.781359667353513,-0.22748741843813036,0.08333333333333337
bioclip,Appearance,41.58393301281075,66.35294817549008,0.6022693415805477,52,39.29745393590858,63.841364246462895,0.506929703116678,52,-2.2864790769021752,-2.5115839290271893,-0.09533963846386972
bioclip,Behavior,32.61336856765593,61.31066642608102,0.5329126450424819,59,31.180352101651668,59.971029885239986,0.47986026214268124,57,-1.4330164660042648,-1.3396365408410347,-0.05305238289980069
bioclip,Context,42.303703595626295,68.58531956863497,0.5804091163329806,43,37.095600060285925,63.896245724736666,0.4678986552178684,43,-5.208103535340371,-4.689073843898306,-0.11251046111511226
bioclip,Species,61.786877648659015,83.93294717232158,0.9166666666666666,6,60.83139663989749,83.74626897117444,0.9166666666666666,6,-0.9554810087615238,-0.18667820114713152,0.0
dinov3-b16,Appearance,44.19979585570638,67.66614046065902,0.5547281520985788,52,40.72190086970056,64.60160807477311,0.5177189658167919,52,-3.477894986005815,-3.0645323858859115,-0.037009186281786954
dinov3-b16,Behavior,39.350578643459826,65.81391057165975,0.5848548505268737,59,39.89415814517294,66.71708765876242,0.6241737373142512,57,0.5435795017131113,0.9031770871026765,0.039318886787377494
dinov3-b16,Context,40.482342305930814,66.02284070971496,0.5377707805760131,43,40.93181374799003,66.42117445315036,0.585534225616305,43,0.4494714420592132,0.3983337434354013,0.04776344504029184
dinov3-b16,Species,55.90560682001228,78.35752589043055,0.7916666666666666,6,52.873882061915175,76.44433240469512,0.7916666666666666,6,-3.0317247580971056,-1.9131934857354338,0.0
siglip-so400m-14-384,Appearance,39.56680679046007,65.0256173434925,0.5862088992755733,52,36.34384690713757,62.20601295635719,0.5018953362360488,52,-3.2229598833225026,-2.819604387135307,-0.08431356303952453
siglip-so400m-14-384,Behavior,43.37322637793297,70.39154148532619,0.7089486068934068,59,43.69497840627336,70.39999841139131,0.7279389997163699,57,0.3217520283403843,0.008456926065122161,0.01899039282296311
siglip-so400m-14-384,Context,43.79648346298917,69.10667951910499,0.5930663832876266,43,42.1085857435977,67.4738534801692,0.5345525793227004,43,-1.6878977193914722,-1.6328260389357894,-0.058513803964926225
siglip-so400m-14-384,Species,52.91393128396183,76.78293286059834,0.7583333333333333,6,47.44213682511762,72.81815944961862,0.6818181818181818,6,-5.471794458844208,-3.964773410979717,-0.07651515151515154
siglip-vit-b-16,Appearance,36.7748783234049,62.84050340655608,0.5190557023419015,52,34.62218149774811,61.36679143171857,0.521422714957475,52,-2.1526968256567898,-1.4737119748375136,0.0023670126155735938
siglip-vit-b-16,Behavior,35.25689343948127,64.80429341286765,0.6299458548731253,59,36.46752205388826,65.47172462024662,0.6370530556906908,57,1.2106286144069927,0.6674312073789679,0.007107200817565551
siglip-vit-b-16,Context,34.33150959270638,62.93919695493863,0.5433112752880195,43,36.90330930695148,64.92768945794633,0.5452420339517113,43,2.5717997142450955,1.9884925030076985,0.0019307586636918561
siglip-vit-b-16,Species,52.353781957413595,77.16309522592688,0.7916666666666666,6,48.844050658929795,74.55623016119095,0.8333333333333334,6,-3.5097312984838,-2.6068650647359277,0.04166666666666674
vit-b-32,Appearance,33.06587451625977,60.28672299414253,0.48959990891924093,52,33.676395806388435,60.2030409862318,0.4348818381998632,52,0.6105212901286663,-0.08368200791073122,-0.05471807071937773
vit-b-32,Behavior,31.73713941749012,60.60803755229108,0.46570506635357817,59,33.07138340534981,62.108946320216575,0.5286886239696902,57,1.3342439878596934,1.5009087679254947,0.06298355761611202
vit-b-32,Context,31.238696801295298,61.31145333048844,0.5389358703312191,43,32.33728265422353,61.58567379295424,0.5109334984578237,43,1.098585852928231,0.2742204624657987,-0.028002371873395493
vit-b-32,Species,43.70875476963153,70.60449961237398,0.6777777777777777,6,42.59476645976657,71.34123542200469,0.8333333333333334,6,-1.1139883098649648,0.7367358096307015,0.15555555555555567
