model,supercategory,ap,ndcg,mrr,n_queries
biocap,Appearance,27.13290892702434,54.95246293598672,0.3341858335706316,52
biocap,Behavior,31.200378347419445,60.2115550566884,0.4836834657890318,59
biocap,Context,31.03887229559251,60.616261551171014,0.49290865388115956,43
biocap,Species,33.84063001963279,60.7307084681922,0.34259259259259256,6
bioclip,Appearance,25.047109210781375,53.33554344051345,0.36099186737301026,52
bioclip,Behavior,26.907291749726543,56.359882223307224,0.4100597607891301,59
bioclip,Context,29.492898096687657,59.408763194811684,0.5076852871681306,43
bioclip,Species,31.481211639533537,60.57328753868267,0.36689814814814814,6
siglip-so400m-14-384,Appearance,29.084575938700713,56.92662059275911,0.4424078324519619,52
siglip-so400m-14-384,Behavior,33.948166601097846,63.28688215318543,0.5978351027301047,59
siglip-so400m-14-384,Context,36.8294304456525,65.89172443427707,0.640728554391345,43
siglip-so400m-14-384,Species,38.45669532343569,67.35747655706844,0.5740740740740741,6
siglip-vit-b-16,Appearance,27.33026075772659,55.488879630483716,0.39588677951303164,52
siglip-vit-b-16,Behavior,29.234620217643077,59.762387014488944,0.5558487297608036,59
siglip-vit-b-16,Context,32.85945068331929,61.601479548878686,0.5382707796791989,43
siglip-vit-b-16,Species,31.859847106648388,61.988239860818005,0.5190476190476191,6
vit-b-32,Appearance,29.579521625233305,57.116086392595626,0.4047234141802909,52
vit-b-32,Behavior,30.32559228380442,59.80471442560824,0.5350203128145372,59
vit-b-32,Context,33.14052041871401,61.619320366403485,0.5165399399092198,43
vit-b-32,Species,33.96273476295405,62.00065038796986,0.46001742160278747,6
